# scer_disaggregation_recovery_long.txt 
# Generated:  Thu Sep 10 02:25:21 2015 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell, 2015 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment name
#   rep: biological replicate
#   time: minutes post heat-shock
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.ctrl: summed intensity for control (unshocked) sample
#   intensity.pre: summed intensity for shocked sample, pre-shock label
#   intensity.post: summed intensity for shocked sample, post-shock label
#   ratio.pre: normalized median ratio pre-shock label to unshocked
#   ratio.post: normalized median ratio post-shock label to unshocked
#   ratio.sum: ratio.pre + ratio.post
# 
orf	gene	experiment	rep	time	n.detections	n.peptides	intensity.ctrl	intensity.pre	intensity.post	ratio.pre	ratio.post	ratio.sum
Q0050	AI1	42C10min.30C20min	rep1	20	1	1	391400	2295100	150710	7.5971	0.4989	8.0959
Q0050	AI1	42C10min.30C60min	rep1	60	1	1	1440700	3843500	403680	3.1108	0.3267	3.4376
Q0115	BI3	42C10min.30C0min	rep1	0	2	2	1091750	1278710	396736	1.0718	0.2704	1.3421
Q0115	BI3	42C10min.30C60min	rep1	60	1	1	808740	15994000	686750	23.0608	0.9902	24.051
R0040C	REP2	42C10min.30C20min	rep1	20	4	4	1273640	508997	223913.08	0.4815	0.0545	0.5361
R0040C	REP2	42C10min.30C60min	rep1	60	1	1	417210	180810	17020	0.5054	0.0476	0.5529
YAL001C	TFC3	42C10min.30C60min	rep1	60	2	2	9822848	18560200	1826410	135.6062	4.2996	139.9058
YAL003W	EFB1	42C10min.30C0min	rep1	0	26	8	533222310	407439230	15426597	0.6176	0.0155	0.6331
YAL003W	EFB1	42C10min.30C20min	rep1	20	41	11	1406529340	1018647910	48688607.7	1.0085	0.0383	1.0468
YAL003W	EFB1	42C10min.30C60min	rep1	60	35	10	1525945890	1229382800	157089688	0.909	0.1301	1.0391
YAL005C	SSA1	42C10min.30C20min	rep1	20	60	14	561458265	477675275	91370508.9	1.0602	0.163	1.2232
YAL005C	SSA1	42C10min.30C60min	rep1	60	70	16	1375626407	1509105035	738232743	1.3703	0.6325	2.0028
YAL005C	SSA1	42C10min.30C0min	rep1	0	47	13	342111960	277885388	24365434.3	0.8027	0.0597	0.8624
YAL010C	MDM10	42C10min.30C0min	rep1	0	1	1	0	2310700	825300	Inf	Inf	Inf
YAL012W	CYS3	42C10min.30C0min	rep1	0	36	10	175770130	221708050	17222237	1.0484	0.0543	1.1028
YAL012W	CYS3	42C10min.30C20min	rep1	20	35	12	318552570	268510010	28942220	1.0755	0.0921	1.1676
YAL012W	CYS3	42C10min.30C60min	rep1	60	44	13	902506500	717996020	105001223	1.0168	0.1158	1.1327
YAL016W	TPD3	42C10min.30C0min	rep1	0	5	3	5026410	7172510	1259400	1.0096	0.0708	1.0804
YAL016W	TPD3	42C10min.30C20min	rep1	20	8	6	13606310	9499750	694572	0.8763	0.0683	0.9446
YAL016W	TPD3	42C10min.30C60min	rep1	60	9	7	40091100	50311840	9060710	0.9735	0.2793	1.2528
YAL017W	PSK1	42C10min.30C20min	rep1	20	4	2	2205840	1333690	188632	0.7872	0.1201	0.9073
YAL017W	PSK1	42C10min.30C60min	rep1	60	1	1	1211900	996640	268650	0.959	0.2585	1.2174
YAL019W	FUN30	42C10min.30C20min	rep1	20	2	2	838910	364037	425353.4	0.5745	0.4397	1.0142
YAL019W	FUN30	42C10min.30C60min	rep1	60	2	1	742180	492360	64306	0.782	0.0999	0.8819
YAL021C	CCR4	42C10min.30C20min	rep1	20	1	1	885760	369980	56954	0.5412	0.0833	0.6245
YAL025C	MAK16	42C10min.30C20min	rep1	20	2	2	5616540	1415101	259084	0.2991	0.073	0.3721
YAL025C	MAK16	42C10min.30C60min	rep1	60	1	1	3194800	1219300	1074100	0.445	0.392	0.8371
YAL029C	MYO4	42C10min.30C60min	rep1	60	2	2	3730290	1088880	437880	0.5331	0.0774	0.6105
YAL029C	MYO4	42C10min.30C20min	rep1	20	1	1	730320	371650	69819	0.6593	0.1239	0.7832
YAL035W	FUN12	42C10min.30C20min	rep1	20	33	16	102278660	72478910	99251747.9	0.997	0.047	1.044
YAL035W	FUN12	42C10min.30C0min	rep1	0	11	6	14118050	14355700	4389796	0.9765	0.1501	1.1266
YAL035W	FUN12	42C10min.30C60min	rep1	60	19	13	80590200	44315400	10024904	0.9325	0.113	1.0455
YAL036C	RBG1	42C10min.30C20min	rep1	20	7	6	11766430	11163926	338181	0.719	0.036	0.755
YAL036C	RBG1	42C10min.30C60min	rep1	60	6	5	94068300	70073220	6960230	0.6979	0.1128	0.8108
YAL036C	RBG1	42C10min.30C0min	rep1	0	2	2	77034510	76928750	490128	0.8775	0.0931	0.9706
YAL038W	CDC19	42C10min.30C0min	rep1	0	351	42	9050704643	9847843949	415982866.9	0.8913	0.0373	0.9286
YAL038W	CDC19	42C10min.30C20min	rep1	20	360	42	16507054630	11499205563	624137942.98	0.9185	0.0457	0.9642
YAL038W	CDC19	42C10min.30C60min	rep1	60	340	44	19812896750	13991341349	1361487931.2	0.8139	0.0735	0.8874
YAL044C	GCV3	42C10min.30C0min	rep1	0	3	2	5969820	7983800	1093613	1.3036	0.158	1.4616
YAL044C	GCV3	42C10min.30C20min	rep1	20	9	4	51453100	31314140	2422108	0.776	0.065	0.841
YAL044C	GCV3	42C10min.30C60min	rep1	60	12	5	92771800	64681300	17652080	0.7854	0.1913	0.9767
YAL044W-A	NA	42C10min.30C60min	rep1	60	1	1	1872700	849340	291060	0.5289	0.1812	0.7101
YAL046C	AIM1	42C10min.30C60min	rep1	60	1	1	1822900	1168500	949220	0.7475	0.6072	1.3547
YAL049C	AIM2	42C10min.30C60min	rep1	60	5	3	10730250	8859900	2661025	0.9749	0.2072	1.1821
YAL049C	AIM2	42C10min.30C20min	rep1	20	1	1	751550	161040	52656	0.2776	0.0908	0.3684
YAL051W	OAF1	42C10min.30C0min	rep1	0	1	1	36184	948970	0	22.0122	0	22.0122
YAL059W	ECM1	42C10min.30C20min	rep1	20	2	2	2043580	1774650	69233	1.1068	0.0949	1.2017
YAL059W	ECM1	42C10min.30C60min	rep1	60	1	1	681090	559980	2620200	0.9587	4.486	5.4447
YAL059W	ECM1	42C10min.30C0min	rep1	0	2	1	1791320	2705770	717730	1.2967	0.3487	1.6453
YAL060W	BDH1	42C10min.30C20min	rep1	20	4	3	11961400	6979700	703292	0.7667	0.07	0.8367
YAL060W	BDH1	42C10min.30C60min	rep1	60	8	7	29991830	18315240	16826670	0.7075	0.2165	0.924
